data,url
"Gymnasium Giving importance to both physical and mental fitness, the college has Gymnasium with the latest machines and exercise equipment’s. Well-equipped gymnasiums for ladies and gents are available in the respective hostel blocks within the campus for students as well as the faculty. The in house Gym is a popular spot for hostel students who cannot otherwise access such facilities. Both Students and faculty are encouraged to use the facility which includes various equipment’s like treadmill, stepee, seated chest press, twister etc. Our major recruiters",http://mgmits.ac.in/infrastructure/gymnasium/
CANTEEN The college canteen is located in the campus. A lively place in the campus where students can relish from a good menu and engage in thought provoking discussions. The canteen with an open kitchen can accommodate around 250 students at a time. In keeping with the digital era cashless transactions are encouraged. CAFETERIA The college cafeteria is located in the Ramanujan Block where students find joy sharing food they bring from home. A snack bar is also available in the cafeteria where the students can enjoy mouth-watering treats. Canteen committee is responsible for monitoring the operations of the canteen and implementing and reviewing the canteen policy. Our major recruiters,http://mgmits.ac.in/infrastructure/canteen-cafeteria/
Our major recruiters,http://mgmits.ac.in/infrastructure/academic-gallery/
STUDENT AMENITY CENTRE Wellness clinic with full time medical assistance. Our major recruiters,http://mgmits.ac.in/infrastructure/students-amenity-centre/
"STUDENT ACTIVITY CENTRE ‘Student Activity Center’, a meeting place for students to plan and execute their activities. It stands a place for bringing in and discussing creative ideas. Our major recruiters",http://mgmits.ac.in/infrastructure/students-activity-centre/
"Email Protection mgmits.ac.in The website from which you got to this page is protected by Cloudflare. Email addresses on that page have been hidden in order to keep them from being accessed by malicious bots. If you have a website and are interested in protecting it in a similar way, you can",http://mgmits.ac.in/cdn-cgi/l/email-protection
NSS team of MITS got First prize in the Street play competition conducted by GEC Wayanad.. Our major recruiters,http://mgmits.ac.in/news-general/nss-team-of-mits-got-first-prize-in-the-street-play-competition-conducted-by-gec-wayanad/
"Laharivimuktha Club,MITS in association with National Service Scheme (NSS) MITS is organizing a colourful art performance Ottan Thullal on the story “Jeevithamanu Lahari” for first year students on 16-12-2021 at 2.20 pm at Visvesvaraya Hall.Excise Preventive Officer Sri V Jayaraj is performing the art. Classes for S1 ME & CSE A are suspended for 6th hour and S1 EEE & CSE AI are suspended for 7th hour in order to attend the programme. The first year faculty members and concerned advisors are invited to attend the same along with students. Our major recruiters",http://mgmits.ac.in/news-general/laharivimuktha-clubmits-in-association-with-national-service-scheme-nss-mits-is-organizing-a-colourful-art-performance-ottan-thullal-on-the-story-jeevithamanu-lahari-for-first-yea/
"National Service Scheme (NSS) MITS in association with General Hospital Ernakulam is organizing a Blood Donation Camp on Friday, 17th December 2021 from 10.00 am to 1.00 pm in Room No. MOO6 (Near Tagore Library in M. George Block). Our major recruiters",http://mgmits.ac.in/news-general/national-service-scheme-nss-mits-in-association-with-general-hospital-ernakulam-is-organizing-a-blood-donation-camp-on-friday-17th-december-2021-from-10-00-am-to-1-00-pm-in-room-no-moo6-near-tago/
"ARAVAM 2021 organized by the Student Council will be conducted on Friday, 17th December 2021 from 1.45 pm to 3.40 pm in the entrance area of M. George Block. Our major recruiters",http://mgmits.ac.in/news-general/aravam-2021-organized-by-the-student-council-will-be-conducted-on-friday-17th-december-2021-from-1-45-pm-to-3-40-pm-in-the-entrance-area-of-m-george-block/
"Georjoice Riju of S1 AI&DS qualified to APJAKT University basketball team for participating in the inter University basketball championship to be held at Christ University, Banglore. Our major recruiters",http://mgmits.ac.in/news-general/georjoice-riju-of-s1-aids-qualified-to-apjakt-university-basketball-team-for-participating-in-the-inter-university-basketball-championship-to-be-held-at-christ-university-banglore/
"Muthoot Institute of Technology and Science announces participation in the Google Cloud career readiness program. The enables students of all backgrounds the ability to prepare for cloud careers by building deep expertise through industry-recognized training, skill badges, and certifications. The aim is to enable students to prepare for cloud careers in business and technical domains related to cloud infrastructure, application development, big data, and machine learning, the Google Cloud career readiness program offers the following tracks: : This track is ideal for students aspiring to launch careers in engineering and management roles related to cloud infrastructure, cloud-native application development, and data engineering. : This track is ideal for students keen on pursuing careers in data analytics, business intelligence, and management. Our participation is limited to Associate Cloud Engineer Track. Our major recruiters",http://mgmits.ac.in/google-cloud-career-readiness-program/
"Contact OUR ADDRESS Muthoot Institute of Technology and Science Varikoli P.O, Puthencruz- 682308 PHONE EMAIL Nedumbassery International airport is approximately 45 kms from the MITS Campus. Thripunithura & Ernakulam railway stations are approximately 8 kms &17 kms from the MITS Campus. MITS is situated at Varikoli overlooking the Kochi-Madurai National Highway about 5 kms from Thiruvankulam en-route to Kolenchery. Our major recruiters",http://mgmits.ac.in/contact-us/
"Fee to be remitted at the time of admission is as follows. The institution also provides for those who are not eligible for scholarships from MHRD related to scores obtained in GATE Examination. The scholarship is based on CGPA from qualifying examination. CGPA >=9 : Tuition fee is Rs.10000 per semester CGPA between 8.5 and 9 : Tuition fee is Rs.15000 per semester CGPA between 8 and 8.5 : Tuition fee is Rs.20000 per semester MITS Alumni : Tuition fee is Rs.15000 per semester Students who avail MITS Scholarships should maintain a GPA of 7.5 every semester, without any backlogs, to continue the scholarship. If they fail in any subject or unable to maintain 7.5 GPA, will slide to Category 6 (Rs 30,000 per semester tuition fee) Mob : +91-9446717178 / +91-8606274562 / +91-9846280649 Ph. 0484 – 2732100, 2732111, 2733011 Mob : +91-9995398235 Our major recruiters",http://mgmits.ac.in/m-tech-admissions-2021/
"B-Tech Admissions Admissions to B.Tech Programmes are through Govt. Quota and Management Quota Eligibility for admission to the B.Techprogramme, admission policy and procedure shall be decided by following the latest guidelines issued by the and other statutory body such as 50% of the total seats (Govt. Quota seats) and the (including Muthoot Employee Quota) filled by MITS through online application and . NRI seats are included in the 50% of the management quota seats and filled separately. For Govt. Quota seats, candidates have to apply online with the college code and branch of preference as and when announced by the Commissioner of the Entrance Examination. Our major recruiters",http://mgmits.ac.in/b-tech-admissions-2021/
"Vice Principal Muthoot Institute of Technology & Science Varikoli P.O., Puthencruz, Kochi – 682308, Ernakulam District. Ph. 0484 – 2732100, 2732111, 2733011 Fax: 2733010 Mob : +91-9846280649 E-mail : Our major recruiters",http://mgmits.ac.in/admission/contact/
"GENERAL DISCIPLINE, CONDUCT AND BEHAVIOUR Students should come in the college and its premises neatly dressed in their uniforms with valid ID card issued from the college.Wearing shoes is compulsory and weather proof shoes may be used during rainy season. They should observe their dress code in campus, laboratories and workshop. Under no circumstances students should alter the uniforms. It should be loosely stitched. If violation in uniform specification is noticed student will attract disciplinary action. Boys should have proper haircuts. They are allowed to keep moustaches but the hair may not extend beyond the edges of the upper lip and are expected to shave their beard. Only after getting prior written permission from principal, students are permitted to collect funds or organize any function in the college. Use of alcohol, smoking and chewing are strictly prohibited in the college campus. Students should strictly abstain themselves from participation in any political party activities or communal politics inside the campus. Use of mobile phones is strictly prohibited in the campus. Students shall use the common dining facility provided in canteen/cafeteria while taking food. Cutting cakes or eating food inside class rooms will attract disciplinary measures. – Slack shirts-Pants with shirt tucked in and belt 2.5cm wide, black/blue color-Black shoes with black/blue socks. – Slack shirt-Jacket-Pants- Black shoes with black/blue socks Workshop coat – Dark blue in color. Our major recruiters",http://mgmits.ac.in/life-mits/student-manuals-circulars/
"For more information, please click Our major recruiters",http://mgmits.ac.in/admission/
"Arts Club A cultural committee of faculty and students is constituted at the beginning of every academic year. The objective of this committee is to Conduct various intra and inter collegiate cultural events in the College and to encourage talents among the faculty and students.Cultural committee plan and schedule cultural events for the academic year and get formal permission from the college authorities to arrange program. The committee Convener conducts a meeting of the committee to discuss and delegate task among staff and students. -the annual arts day of MITS is scheduled on . Varnam is a confluence of art, music, dance, literature and culture. With active participation of students and faculty alike, it is definitely the most awaited time of the year. A wide spectrum of events like Thiruvathira, Margamkali, Tic-Tok contest, face art etc witness fierce competition from all 4 houses. The 2-day event will be inaugurated by and the valedictory function will be graced by the presence of noted On the 7th of November, all the roads led to the basketball court of our College for the cultural’s inauguration for the year 2018-19. The excitement among the students was palpable. The cultural committee of MITS was successful in bringing up a programme that maintained the decorum in all aspects. College Executive Director, Mr. P George Varghese was the Chief Guest for the event. Dr.Chikku Abraham, the acting principal and Dr. Babu Kurian, College Dean and the HoD’s of various departments were present among the dignitaries. College day celebrations of MITS 2018 was conducted on 23rd March 2018 at 4 pm in the basketball court. All staff and students were present in the programme. The annual report was presented by Principal Dr. S Ramkumar followed by prize distribution of sports, arts and tech fest. An amazing performance by college music band and dance club was a delight to all present at the event. These events followed by DJ and ended at 7 PM. The curtain raiser ceremony of VARNAM-18 (MITS arts fest) was celebrated on 31/01/2018 (3.00pm) at Isaac Newton Hall. Fortunately we were honoured to have Mr. Siddharth Menon, film actor & popular singer of music band Thaikkudam Bridge. MITS Arts Fest VARNAM’18 was scheduled on 23rd and 24th February 2018 (Friday & Saturday). Off stage events were scheduled from 19th February 2018 (Monday) onwards. Inaugural ceremony of VARNAM’18 was scheduled on 23rd February 2018 at 9.30 AM with prayer followed by welcome speech by Ms. Preenu Paul (Arts general convenor) and presidential address by Dr. S Ramkumar (Principal). Our programme was inaugurated by our chief guest Mr. Vishnu Unnikrishnan (Film actor and screen writer). Felicitation was given by Dr. A C Mathai (Academic advisor) and Mr. Shinoj Shaji (Student Union chairman). Inaugural ceremony ended up by vote of thanks by Ms. Devi Ganga Lakshmi (Vice Chairperson, Student Union).Special praise must go for Asso. Prof Sajeeb Rahman (Student Union in charge) and cultural committee members. Onam 2017 was celebrated on 31st August 2017. Onam program started at 8.45 AM with a procession (inside the campus) which includes Shingarimelam, Pulikali, Maveli,Vamanan etc. A mega flower carpet was arranged by student union at basketball court. MITS students and Faculty members were in traditional dress code. Official inauguration was at basketball court (9.15 AM) with prayer and lamp lighting. Lighting of the lamp was done by our esteemed dignitaries Mr. P George Varghese (Executive director), Principal- Dr. S Ramkumar, Academic advisor – Dr. A C Mathai and all head of the departments. Onam message was delivered by Dr. S Ramkumar and Dr. A C Mathai. Thiruvathira kali, Onapattu, Malayali Manka and Malayali Maran were the traditional programmes of the event. All faculty and students gathered at college canteen for the Onasdhya. Outdoor Onam Games likeVadamvali, Uriyadi, Musical chair, Lemon and spoon race etc were also conducted. Programme ended with prize distribution and closing ceremony at 4.00pm. The stage was set, the hopefuls were ready and day dawned – bright and fresh reflecting spirits of our students and then it happened on 10th march 2017. VARNAM – our annual cultural fest. The chief guest were Mr. CIJO VARGHESE and Mr. GINO JOHN, the renowned cine artists who enthralled the audience with a brilliant piece of work. The fest starts up with a short film played by the staff members. This was one among the crowd pulling event of the fest. Dance, Music, Quiz, Thiruvathirakali Nostalgia, Theme show, various items were marked the varnam to its etherial bliss. The theme show consist of 40 models,both male and female. They all wore tasteful garments in wonderfull colors and fabrics for the theme “THE WEDDING”. THE CUP AT OUR FEET :The wait has ended and new legend has been born, Putting yellow’s squad to win the overall cup back from team red defending champion, team red become the runners up. There was special praise too for the winners of Sargaprathibha (Jithin jyothish, S6 ME), Kalaprathibha(Sreegovind S, S2 ME), Kalathilakam (Vismaya Uday. S4 ME). Onam 2K16 was celebrated on 9th Sept 2016 by prayer and followed by hoisting the flag by Mr.George Varghese ,Executive Director and Dr.Ramkumar.S,Principal in presence of all HODs and senior faculty members and Cultural committee Coordinator Mr.Baiju Karun. Onam Lamp Lighting and Para Nirakkal were done by Mr.George Varghese, Executive Director and Dr.Ramkumar.S, Principal , Dr.A,C.Mathai, Academic Advisor , all HODs and senior faculty members and Cultural committee Coordinator Mr.Baiju Karun.Onam messages given by Dr.Ramkumar.S, Principal, Dr.A,C.Mathai, Academic Advisor. Mega thiruvathirakali by girls students from hostel . At ISAAC NEWTON hall various events were conducted such as Onapattu Malayali Manka Malayali Maran Nattarivu (Kerala Quiz) Otamthullal After these programs a grant Ona Sadhya was there at College Canteen. After the Ona Sadhya there were the following events: Onam Games (Musical chair,Lemon and spoon,kite flying etc) Uriyadi Vadamvali Celebrations concluded by Prize Distribution and Closing Ceremony. Our major recruiters",http://mgmits.ac.in/life-mits/arts-club/
"QUIZ CLUB Quiz club at MITS aims at enhancing quizzing activities among students. It facilitates exposure to students who are passionate about quizzing and provides opportunity to revel in various sections of knowledge. Quiz Club activities include a vibrant array of various programmes, like: Induction or Orientation on quizzing for newly registered quiz club members at the beginning of every academic year. Theme based quizzing activities like General Quiz, Quiz on Science and Technology, Literary Quiz, Movie Quiz, Sports Quiz etc. helps to explore the realms of knowledge in students whose areas of interest vary. Annual conduct of Inter- Collegiate Quiz on “Trends in Science and Technology” on the birth anniversary of Late President of India, Dr. A P J Abdul Kalam. Gincy P Kuriakose, Assistant Professor, BS & H Dept. Our major recruiters",http://mgmits.ac.in/life-mits/quiz-club/
MITS EMPLOYABILITY CONCLAVE & HACKATHON 2019 Download File Here—> Our major recruiters,http://mgmits.ac.in/life-mits/mits-in-press/
"NATIONAL SERVICE SCHEME The NSS unit of MITS is a very socially active body which upholds the NSS motto of “NOT ME BUT YOU” and enables the students to remain connected with the society and updated about their problems. The main aim of the unit is PERSONALITY DEVELOPMENT THROUGH SOCIAL SERVICE and to nurture a group of socially committed professionals. Several social welfare programmes such as rural camps, annual special camps, health camps, blood donations camps, various awareness programmes for students and the public, marathons, etc. are organised by the NSS unit of MITS regularly. The unit also looks after several charity programmes of the college. Blood donation camp Food packet distribution Electrification of houses – post-flood activity Drainage and roadside cleaning Shelter for poor people Swachh Bharat Water survey = Phase 1 Flood relief work at Karmaloor Panchayat Eloor FACT school flood-affected relief camp Medicine and mat distribution at Eloor Camp – flood affected Cleaning camp conducted by Kalamassery Municipality and Tech Cell Well cleaning at Chengamanad – post flood activity Cleaning at Special School Kalamassery Post flood survey at Valakom Medical Camp-1 at Valakom Distribution of school kit at Kadungaloor Panchayat Cleaning at Anganavadi, Varikoli Blood donation camp Biogas plant inspection drive Orientation and interactive session on green protocol and waste management Suchitwa yagnjan rally Craft and design work at Vaduvacode LP School Computer repair and maintenance at Information Literacy Centre at Vaduvacode LP School Planting of tree saplings NSS Unit at MITS has been in the forefront of many social service ventures in the State and beyond. The awards and accolades received testify this fact. Please to know more about awards and accolades received by members of NSS unit in other spheres of activities. Our major recruiters",http://mgmits.ac.in/life-mits/national-service-scheme/
"SPORTS MITS has been maintaining a high standard in almost all games during Sports and Athletic Meets among engineering colleges in Kerala. We have always strived hard to excel in the fields of sports and games as in the academic arena. The annual Athletic Meet of the college is an important event where students participate in large numbers in field and track events. The Physical Education Department is giving systematic training and coaching for players in various games throughout the year. In order to give competitive experience and exposures MITS teams participate in almost all the Inter Collegiate Sports and Games Tournaments. The department of physical education organizes inter-house competitions to provide competitive experience, interactions with fellow collegians, teachers, juniors and seniors to develop friendship, commandership and championship and in effect the spirit of sportsmanship. Our students have always performed creditably in sports events at the inter-collegiate levels and have secured several laurels. The college has ample facilities for major games like basketball, volleyball, football, cricket, throw-ball etc., indoor games like table tennis and carom etc. It also has a very well furnished health club with excellent facilities for developing a fine and athletic body. College Teams Spark 2k20 MITS Annual Sports Meet for the year 2019-’20, ‘SPARK 2K20’ has conducted on 25th January 2020. Mr. Anish P Rajan, member of Indian Cricket team for physicallychallenged was the chief guest of the day. Track and field events like 100 meter, 200 meter,400 meter,800 meter 1500 meter race, Shot put, Discuss throw, Javelin throw, Long Jump, 4 x 100 meter relay race and Tug of War (All events for Men and Women) were conducted on the same day. All the competitionswere conducted in house wise. Blue house became the overall champions in the meet and the runner up position goes to yellow house. Mr Arun Jose of S6 EE and Ananthu M N of S4 EE were the individual champions in Men category and Ayna Sunny became the individual champion in women category. First all Kerala intercollege basketball tournament conducted by MITS on 13, 14 and 15th of march 2019.The winners were: Girl’s finals- MITS vs Rajagiri, Rajagiri won 12-2. Boy’s finals-MITS vs AmalJyothi, MITS won 64-56. Date: 24/11/2018 The annual sports meets of MITS “Spark2k18” was held on 24th November 2018.As per the schedule the inaugural ceremony started at 9 am. The inaugural address was given by the Indian Volleyball legend Mr.Tom Joseph. College Executive Director Mr.P George Varghese, the acting Pricipal Dr Chikku Abraham and the HODs of various departments were the dignitaries on the dice. Welcome address was given by Mr.Mathews Ignatius, Sports Secretary. Later captains of each house came forward and take the oath. The meet was a grand success in terms of the number of participants in each event. Events include 100m, 200m, 400m, 800m dash, Shotput, Discus Throw and Tug of War. Harinarayanan S of s7 ME was crowned as the individual champion male and Anjana Madasudanan of s7 EC was enthroned as individual champion female. As part of the annual meet, game events like Cricket, Volleyball, Basketball, Table Tennis, Football and Throwball were also held. Our major recruiters",http://mgmits.ac.in/life-mits/sports/
